product_id,title,category_tree,final_price,currency,item_details,shipping_return_policies,url,seller_shop_name
5000000000,Handcrafted Aurora Moonstone Pendant Necklace,"[""Jewelry"",""Necklaces"",""Pendant Necklaces""]",55.07,USD,"Delicate handcrafted pendant necklace featuring genuine aurora moonstone set in sterling silver. Wire-wrapped by hand, each piece is unique. Chain length 18 inches with lobster clasp. Comes in a kraft gift box.","[""Made to order 3-5 business days"",""Free USPS First Class shipping"",""Returns accepted within 30 days"",""Ships from Asheville, NC""]",https://www.etsy.com/listing/5000000000/handcrafted-aurora-moonstone-pendant-necklace?ref=search_grid,ClayCottageStudio
5000000001,Custom Name Twilight Gold-Fill Necklace,"[""Jewelry"",""Necklaces"",""Pendant Necklaces""]",50.01,USD,"Personalized twilight name necklace hand-stamped on 14k gold-filled disc. Choose font and chain length (16"", 18"", 20""). Perfect birthday or anniversary gift. Tarnish resistant.","[""In stock ships within 1-2 days"",""Flat rate shipping $3.99"",""Exchanges only on unused items"",""Ships from Portland, ME""]",https://www.etsy.com/listing/5000000001/custom-name-twilight-gold-fill-necklace?ref=search_grid,WildHoneyHandmade
5000000002,Vintage-Style Heather Locket Necklace,"[""Jewelry"",""Necklaces"",""Lockets""]",56.09,USD,Antique-inspired heather brass locket necklace. Opens to hold two small photos. Intricately engraved exterior. Hangs on 24-inch brass chain. Includes velvet pouch.,"[""Handmade to order 5-7 days"",""Free shipping on orders over $40"",""No returns on personalized items"",""Ships from Santa Fe, NM""]",https://www.etsy.com/listing/5000000002/vintage-style-heather-locket-necklace?ref=search_grid,ThePotteryBarn
5000000003,Handwoven Driftwood Friendship Bracelet,"[""Jewelry"",""Bracelets"",""Charm Bracelets""]",12.97,USD,"Handwoven driftwood friendship bracelet made with premium waxed cotton thread. Adjustable sliding knot closure fits wrist sizes 5""-8"". Waterproof and durable. Available in 12 color combinations.","[""Ready to ship today"",""Priority mail $7.95"",""30-day no hassle returns"",""Ships from Burlington, VT""]",https://www.etsy.com/listing/5000000003/handwoven-driftwood-friendship-bracelet?ref=search_grid,IndigoInkCrafts
5000000004,Hammered Riverstone Copper Cuff Bracelet,"[""Jewelry"",""Bracelets"",""Cuff Bracelets""]",58.47,USD,Hand-hammered pure copper cuff bracelet with riverstone patina finish. Adjustable opening fits most wrist sizes. Each piece is unique due to the hammering process. Width: 3/4 inch.,"[""Processing time 2-3 days"",""Free standard shipping"",""Store credit for returns within 14 days"",""Ships from Taos, NM""]",https://www.etsy.com/listing/5000000004/hammered-riverstone-copper-cuff-bracelet?ref=search_grid,FernAndFlintCo
5000000005,Beaded Pebble Beach Gemstone Bracelet,"[""Jewelry"",""Bracelets"",""Charm Bracelets""]",29.8,USD,Handstrung pebble beach gemstone bead bracelet on durable stretch cord. Features 8mm natural stone beads. Fits wrists up to 7.5 inches. Each bead is genuine natural stone.,"[""Ships in 3-4 business days"",""Calculated shipping at checkout"",""Returns for store credit within 21 days"",""Ships from Missoula, MT""]",https://www.etsy.com/listing/5000000005/beaded-pebble-beach-gemstone-bracelet?ref=search_grid,RosequartzRings
5000000006,Hand-Forged Foxglove Silver Stud Earrings,"[""Jewelry"",""Earrings"",""Stud Earrings""]",30.32,USD,Hand-forged sterling silver stud earrings with foxglove texture. Posts are 925 sterling silver with butterfly backs. Nickel-free and hypoallergenic. Approx 10mm diameter.,"[""Made fresh to order 4-6 days"",""Free shipping over $50"",""No returns on food or bath items"",""Ships from Olympia, WA""]",https://www.etsy.com/listing/5000000006/hand-forged-foxglove-silver-stud-earrings?ref=search_grid,HarvestMoonGoods
5000000007,Wirewrapped Blackberry Crystal Hoop Earrings,"[""Jewelry"",""Earrings"",""Hoop Earrings""]",57.64,USD,Handmade wire-wrapped hoop earrings featuring blackberry crystal accents. Made with 20-gauge sterling silver wire. Hoop diameter: 35mm. Lightweight and comfortable for everyday wear.,"[""Usually ships next day"",""Free shipping on all orders"",""Easy 30-day returns"",""Ships from Chattanooga, TN""]",https://www.etsy.com/listing/5000000007/wirewrapped-blackberry-crystal-hoop-earrings?ref=search_grid,TerraThreadWorks
5000000008,Hand-Stamped Cinnamon Stacking Ring,"[""Jewelry"",""Rings"",""Band Rings""]",29.77,USD,Dainty hand-stamped cinnamon stacking ring in sterling silver. Available in sizes 4-12 including half sizes. 2mm wide band. Can be personalized with a word or date upon request.,"[""Handcrafted 7-10 days lead time"",""Free USPS Priority on orders $75+"",""Custom orders non-refundable"",""Ships from Bozeman, MT""]",https://www.etsy.com/listing/5000000008/hand-stamped-cinnamon-stacking-ring?ref=search_grid,MapleBarkDesigns
5000000009,Raw Crystal Cardamom Statement Ring,"[""Jewelry"",""Rings"",""Statement Rings""]",76.61,USD,Bold statement ring featuring raw cardamom crystal set in recycled brass. Adjustable band fits sizes 6-9. Each crystal is unique in shape and color. Finished with cardamom patina.,"[""Ships within 48 hours"",""$4.50 flat rate shipping"",""Returns within 30 days with receipt"",""Ships from Flagstaff, AZ""]",https://www.etsy.com/listing/5000000009/raw-crystal-cardamom-statement-ring?ref=search_grid,CoralReefCrafts
